instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,rush_hour,is_weekend,temp_diff,bad_weather,hum_wind
3209,2011-05-18,2,0,5,14,0,3,1,2,0.58,0.5455,0.78,0.2836,44,94,138,0,0,-0.034499999999999975,0,0.22120800000000002
3210,2011-05-18,2,0,5,15,0,3,1,1,0.6,0.5758,0.78,0.2537,34,133,167,0,0,-0.0242,0,0.19788599999999998
3211,2011-05-18,2,0,5,16,0,3,1,1,0.6,0.5909,0.73,0.194,53,241,294,0,0,-0.009099999999999997,0,0.14162
3212,2011-05-18,2,0,5,17,0,3,1,1,0.6,0.5909,0.69,0.1343,78,487,565,1,0,-0.009099999999999997,0,0.092667
3213,2011-05-18,2,0,5,18,0,3,1,1,0.6,0.5909,0.73,0.2239,58,431,489,1,0,-0.009099999999999997,0,0.16344699999999998
3214,2011-05-18,2,0,5,19,0,3,1,3,0.56,0.5303,0.88,0.1343,43,288,331,1,0,-0.02970000000000006,1,0.118184
3215,2011-05-18,2,0,5,20,0,3,1,3,0.56,0.5303,0.88,0.1343,24,189,213,0,0,-0.02970000000000006,1,0.118184
3216,2011-05-18,2,0,5,21,0,3,1,1,0.52,0.5,0.88,0.0,11,74,85,0,0,-0.020000000000000018,0,0.0
3217,2011-05-18,2,0,5,22,0,3,1,1,0.52,0.5,0.83,0.0,14,103,117,0,0,-0.020000000000000018,0,0.0
3218,2011-05-18,2,0,5,23,0,3,1,1,0.52,0.5,0.94,0.0896,10,49,59,0,0,-0.020000000000000018,0,0.084224
3219,2011-05-19,2,0,5,0,0,4,1,1,0.52,0.5,0.94,0.1045,6,23,29,0,0,-0.020000000000000018,0,0.09822999999999998
3220,2011-05-19,2,0,5,1,0,4,1,1,0.5,0.4848,0.94,0.0,2,4,6,0,0,-0.015199999999999991,0,0.0
3221,2011-05-19,2,0,5,2,0,4,1,1,0.5,0.4848,0.94,0.0,3,12,15,0,0,-0.015199999999999991,0,0.0
3222,2011-05-19,2,0,5,3,0,4,1,1,0.48,0.4697,1.0,0.0,1,3,4,0,0,-0.010299999999999976,0,0.0
3223,2011-05-19,2,0,5,4,0,4,1,1,0.48,0.4697,0.94,0.0,2,3,5,0,0,-0.010299999999999976,0,0.0
3224,2011-05-19,2,0,5,5,0,4,1,1,0.48,0.4697,0.94,0.0,2,24,26,0,0,-0.010299999999999976,0,0.0
3225,2011-05-19,2,0,5,6,0,4,1,2,0.5,0.4848,0.94,0.0,17,86,103,0,0,-0.015199999999999991,0,0.0
3226,2011-05-19,2,0,5,7,0,4,1,2,0.5,0.4848,1.0,0.0,18,239,257,1,0,-0.015199999999999991,0,0.0
3227,2011-05-19,2,0,5,8,0,4,1,2,0.52,0.5,0.88,0.0,34,453,487,1,0,-0.020000000000000018,0,0.0
3228,2011-05-19,2,0,5,9,0,4,1,2,0.54,0.5152,0.88,0.0896,40,176,216,1,0,-0.024800000000000044,0,0.078848
3229,2011-05-19,2,0,5,10,0,4,1,2,0.54,0.5152,0.83,0.0,35,95,130,0,0,-0.024800000000000044,0,0.0
3230,2011-05-19,2,0,5,11,0,4,1,3,0.54,0.5152,0.88,0.1642,53,111,164,0,0,-0.024800000000000044,1,0.144496
3231,2011-05-19,2,0,5,12,0,4,1,2,0.58,0.5455,0.78,0.1045,38,130,168,0,0,-0.034499999999999975,0,0.08151
3232,2011-05-19,2,0,5,13,0,4,1,3,0.58,0.5455,0.64,0.2537,44,139,183,0,0,-0.034499999999999975,1,0.16236799999999998
3233,2011-05-19,2,0,5,14,0,4,1,3,0.54,0.5152,0.73,0.194,43,137,180,0,0,-0.024800000000000044,1,0.14162
3234,2011-05-19,2,0,5,15,0,4,1,1,0.56,0.5303,0.78,0.1642,63,125,188,0,0,-0.02970000000000006,0,0.12807600000000002
3235,2011-05-19,2,0,5,16,0,4,1,1,0.58,0.5455,0.64,0.194,55,247,302,0,0,-0.034499999999999975,0,0.12416
3236,2011-05-19,2,0,5,17,0,4,1,1,0.56,0.5303,0.78,0.1642,60,487,547,1,0,-0.02970000000000006,0,0.12807600000000002
3237,2011-05-19,2,0,5,18,0,4,1,1,0.6,0.6212,0.55,0.1642,59,454,513,1,0,0.021199999999999997,0,0.09031000000000002
3238,2011-05-19,2,0,5,19,0,4,1,1,0.58,0.5455,0.6,0.1343,65,345,410,1,0,-0.034499999999999975,0,0.08058
3239,2011-05-19,2,0,5,20,0,4,1,1,0.54,0.5152,0.77,0.2836,46,236,282,0,0,-0.024800000000000044,0,0.218372
3240,2011-05-19,2,0,5,21,0,4,1,1,0.54,0.5152,0.77,0.2836,29,180,209,0,0,-0.024800000000000044,0,0.218372
3241,2011-05-19,2,0,5,22,0,4,1,3,0.5,0.4848,0.82,0.2985,11,68,79,0,0,-0.015199999999999991,1,0.24477
3242,2011-05-19,2,0,5,23,0,4,1,1,0.48,0.4697,0.94,0.0,9,63,72,0,0,-0.010299999999999976,0,0.0
3243,2011-05-20,2,0,5,0,0,5,1,1,0.46,0.4545,0.94,0.0896,15,33,48,0,0,-0.005500000000000005,0,0.084224
3244,2011-05-20,2,0,5,1,0,5,1,1,0.46,0.4545,1.0,0.0,8,17,25,0,0,-0.005500000000000005,0,0.0
3245,2011-05-20,2,0,5,2,0,5,1,1,0.44,0.4394,1.0,0.0896,4,4,8,0,0,-0.0005999999999999894,0,0.0896
3246,2011-05-20,2,0,5,3,0,5,1,1,0.44,0.4394,1.0,0.0,1,4,5,0,0,-0.0005999999999999894,0,0.0
3247,2011-05-20,2,0,5,4,0,5,1,1,0.44,0.4394,0.94,0.0896,1,4,5,0,0,-0.0005999999999999894,0,0.084224
3248,2011-05-20,2,0,5,5,0,5,1,1,0.44,0.4394,0.94,0.1045,0,28,28,0,0,-0.0005999999999999894,0,0.09822999999999998
3249,2011-05-20,2,0,5,6,0,5,1,1,0.46,0.4545,0.88,0.1045,15,102,117,0,0,-0.005500000000000005,0,0.09196
3250,2011-05-20,2,0,5,7,0,5,1,1,0.5,0.4848,0.77,0.1642,30,289,319,1,0,-0.015199999999999991,0,0.12643400000000002
3251,2011-05-20,2,0,5,8,0,5,1,1,0.54,0.5152,0.68,0.0,41,476,517,1,0,-0.024800000000000044,0,0.0
3252,2011-05-20,2,0,5,9,0,5,1,1,0.54,0.5152,0.68,0.2239,35,199,234,1,0,-0.024800000000000044,0,0.152252
3253,2011-05-20,2,0,5,10,0,5,1,1,0.56,0.5303,0.64,0.194,44,104,148,0,0,-0.02970000000000006,0,0.12416
3254,2011-05-20,2,0,5,11,0,5,1,2,0.58,0.5455,0.6,0.194,63,133,196,0,0,-0.034499999999999975,0,0.1164
3255,2011-05-20,2,0,5,12,0,5,1,2,0.6,0.6212,0.56,0.2537,69,186,255,0,0,0.021199999999999997,0,0.142072
3256,2011-05-20,2,0,5,13,0,5,1,3,0.6,0.6212,0.56,0.2836,60,172,232,0,0,0.021199999999999997,1,0.158816
3257,2011-05-20,2,0,5,14,0,5,1,1,0.62,0.6212,0.53,0.2239,66,131,197,0,0,0.0011999999999999789,0,0.118667
3258,2011-05-20,2,0,5,15,0,5,1,2,0.6,0.6212,0.56,0.194,74,168,242,0,0,0.021199999999999997,0,0.10864000000000001
3259,2011-05-20,2,0,5,16,0,5,1,2,0.6,0.6212,0.53,0.1642,61,269,330,0,0,0.021199999999999997,0,0.087026
3260,2011-05-20,2,0,5,17,0,5,1,1,0.62,0.6212,0.53,0.0,71,483,554,1,0,0.0011999999999999789,0,0.0
3261,2011-05-20,2,0,5,18,0,5,1,1,0.6,0.6212,0.56,0.1642,79,394,473,1,0,0.021199999999999997,0,0.09195200000000002
3262,2011-05-20,2,0,5,19,0,5,1,1,0.58,0.5455,0.64,0.0896,49,253,302,1,0,-0.034499999999999975,0,0.057344
3263,2011-05-20,2,0,5,20,0,5,1,1,0.58,0.5455,0.64,0.1045,40,180,220,0,0,-0.034499999999999975,0,0.06688
3264,2011-05-20,2,0,5,21,0,5,1,1,0.56,0.5303,0.64,0.1045,40,155,195,0,0,-0.02970000000000006,0,0.06688
3265,2011-05-20,2,0,5,22,0,5,1,1,0.54,0.5152,0.73,0.0,28,124,152,0,0,-0.024800000000000044,0,0.0
3266,2011-05-20,2,0,5,23,0,5,1,1,0.52,0.5,0.72,0.1642,15,100,115,0,0,-0.020000000000000018,0,0.11822400000000001
3267,2011-05-21,2,0,5,0,0,6,0,1,0.52,0.5,0.77,0.1045,20,78,98,0,1,-0.020000000000000018,0,0.080465
3268,2011-05-21,2,0,5,1,0,6,0,1,0.52,0.5,0.72,0.0,8,64,72,0,1,-0.020000000000000018,0,0.0
3269,2011-05-21,2,0,5,2,0,6,0,1,0.52,0.5,0.72,0.1045,5,35,40,0,1,-0.020000000000000018,0,0.07523999999999999
3270,2011-05-21,2,0,5,3,0,6,0,1,0.48,0.4697,0.82,0.1045,7,12,19,0,1,-0.010299999999999976,0,0.08568999999999999
3271,2011-05-21,2,0,5,4,0,6,0,1,0.46,0.4545,0.88,0.1343,1,6,7,0,1,-0.005500000000000005,0,0.118184
3272,2011-05-21,2,0,5,5,0,6,0,1,0.46,0.4545,0.88,0.1045,1,4,5,0,1,-0.005500000000000005,0,0.09196
3273,2011-05-21,2,0,5,6,0,6,0,1,0.5,0.4848,0.82,0.1343,6,22,28,0,1,-0.015199999999999991,0,0.110126
3274,2011-05-21,2,0,5,7,0,6,0,1,0.54,0.5152,0.73,0.1343,10,33,43,1,1,-0.024800000000000044,0,0.098039
3275,2011-05-21,2,0,5,8,0,6,0,1,0.56,0.5303,0.68,0.2836,29,97,126,1,1,-0.02970000000000006,0,0.19284800000000002
3276,2011-05-21,2,0,5,9,0,6,0,1,0.6,0.6061,0.64,0.2239,60,165,225,1,1,0.006099999999999994,0,0.143296
3277,2011-05-21,2,0,5,10,0,6,0,1,0.62,0.6061,0.61,0.1045,122,201,323,0,1,-0.013900000000000023,0,0.063745
3278,2011-05-21,2,0,5,11,0,6,0,1,0.64,0.6212,0.53,0.1343,173,245,418,0,1,-0.01880000000000004,0,0.071179
3279,2011-05-21,2,0,5,12,0,6,0,1,0.66,0.6212,0.5,0.0,222,271,493,0,1,-0.03880000000000006,0,0.0
3280,2011-05-21,2,0,5,13,0,6,0,1,0.7,0.6364,0.45,0.0,191,271,462,0,1,-0.06359999999999999,0,0.0
3281,2011-05-21,2,0,5,14,0,6,0,1,0.72,0.6515,0.42,0.0,187,269,456,0,1,-0.0685,0,0.0
3282,2011-05-21,2,0,5,15,0,6,0,1,0.72,0.6515,0.45,0.2537,232,274,506,0,1,-0.0685,0,0.11416499999999999
3283,2011-05-21,2,0,5,16,0,6,0,2,0.72,0.6515,0.39,0.2537,204,267,471,0,1,-0.0685,0,0.09894299999999999
3284,2011-05-21,2,0,5,17,0,6,0,2,0.72,0.6515,0.42,0.1642,191,253,444,1,1,-0.0685,0,0.068964
3285,2011-05-21,2,0,5,18,0,6,0,2,0.7,0.6364,0.45,0.1642,191,253,444,1,1,-0.06359999999999999,0,0.07389000000000001
3286,2011-05-21,2,0,5,19,0,6,0,1,0.68,0.6364,0.47,0.1642,117,184,301,1,1,-0.04360000000000008,0,0.077174
3287,2011-05-21,2,0,5,20,0,6,0,1,0.62,0.6061,0.61,0.0,84,164,248,0,1,-0.013900000000000023,0,0.0
3288,2011-05-21,2,0,5,21,0,6,0,1,0.62,0.6061,0.61,0.1045,77,150,227,0,1,-0.013900000000000023,0,0.063745
3289,2011-05-21,2,0,5,22,0,6,0,1,0.6,0.5909,0.69,0.1343,78,126,204,0,1,-0.009099999999999997,0,0.092667
3290,2011-05-21,2,0,5,23,0,6,0,1,0.58,0.5455,0.78,0.0896,42,103,145,0,1,-0.034499999999999975,0,0.069888
3291,2011-05-22,2,0,5,0,0,0,0,1,0.54,0.5152,0.88,0.1642,31,100,131,0,1,-0.024800000000000044,0,0.144496
3292,2011-05-22,2,0,5,1,0,0,0,1,0.52,0.5,0.94,0.1343,17,81,98,0,1,-0.020000000000000018,0,0.126242
3293,2011-05-22,2,0,5,2,0,0,0,1,0.52,0.5,0.94,0.1045,18,50,68,0,1,-0.020000000000000018,0,0.09822999999999998
3294,2011-05-22,2,0,5,3,0,0,0,1,0.5,0.4848,1.0,0.1045,10,23,33,0,1,-0.015199999999999991,0,0.1045
3295,2011-05-22,2,0,5,4,0,0,0,1,0.5,0.4848,1.0,0.0,3,9,12,0,1,-0.015199999999999991,0,0.0
3296,2011-05-22,2,0,5,5,0,0,0,1,0.5,0.4848,1.0,0.1045,1,5,6,0,1,-0.015199999999999991,0,0.1045
3297,2011-05-22,2,0,5,6,0,0,0,1,0.52,0.5,0.94,0.1045,5,13,18,0,1,-0.020000000000000018,0,0.09822999999999998
3298,2011-05-22,2,0,5,7,0,0,0,1,0.54,0.5152,0.88,0.1045,13,27,40,1,1,-0.024800000000000044,0,0.09196
3299,2011-05-22,2,0,5,8,0,0,0,1,0.6,0.5909,0.73,0.0896,29,65,94,1,1,-0.009099999999999997,0,0.065408
3300,2011-05-22,2,0,5,9,0,0,0,1,0.62,0.6061,0.69,0.1045,59,130,189,1,1,-0.013900000000000023,0,0.07210499999999999
3301,2011-05-22,2,0,5,10,0,0,0,1,0.64,0.6061,0.65,0.1343,135,170,305,0,1,-0.03390000000000004,0,0.08729500000000001
3302,2011-05-22,2,0,5,11,0,0,0,1,0.7,0.6515,0.54,0.194,164,209,373,0,1,-0.04849999999999999,0,0.10476
3303,2011-05-22,2,0,5,12,0,0,0,2,0.72,0.6667,0.51,0.194,146,255,401,0,1,-0.053300000000000014,0,0.09894
3304,2011-05-22,2,0,5,13,0,0,0,2,0.66,0.6212,0.54,0.2239,180,275,455,0,1,-0.03880000000000006,0,0.120906
3305,2011-05-22,2,0,5,14,0,0,0,3,0.62,0.6061,0.69,0.194,125,191,316,0,1,-0.013900000000000023,1,0.13386
3306,2011-05-22,2,0,5,15,0,0,0,2,0.66,0.6212,0.61,0.1642,110,221,331,0,1,-0.03880000000000006,0,0.100162
3307,2011-05-22,2,0,5,16,0,0,0,1,0.68,0.6364,0.61,0.1343,72,201,273,0,1,-0.04360000000000008,0,0.081923
3308,2011-05-22,2,0,5,17,0,0,0,1,0.7,0.6515,0.58,0.2537,93,213,306,1,1,-0.04849999999999999,0,0.14714599999999997
3309,2011-05-22,2,0,5,18,0,0,0,1,0.66,0.6212,0.61,0.2239,120,238,358,1,1,-0.03880000000000006,0,0.13657899999999998
3310,2011-05-22,2,0,5,19,0,0,0,1,0.66,0.6212,0.61,0.194,107,193,300,1,1,-0.03880000000000006,0,0.11834
3311,2011-05-22,2,0,5,20,0,0,0,1,0.64,0.6061,0.65,0.1642,57,174,231,0,1,-0.03390000000000004,0,0.10673
3312,2011-05-22,2,0,5,21,0,0,0,1,0.62,0.5909,0.73,0.194,27,109,136,0,1,-0.029100000000000015,0,0.14162
3313,2011-05-22,2,0,5,22,0,0,0,1,0.6,0.5606,0.83,0.1343,35,86,121,0,1,-0.03939999999999999,0,0.111469
3314,2011-05-22,2,0,5,23,0,0,0,2,0.58,0.5455,0.83,0.1343,19,46,65,0,1,-0.034499999999999975,0,0.111469
3315,2011-05-23,2,0,5,0,0,1,1,2,0.56,0.5303,0.88,0.1343,23,18,41,0,0,-0.02970000000000006,0,0.118184
3316,2011-05-23,2,0,5,1,0,1,1,1,0.56,0.5303,0.88,0.1045,4,5,9,0,0,-0.02970000000000006,0,0.09196
3317,2011-05-23,2,0,5,2,0,1,1,3,0.56,0.5303,0.88,0.1642,2,3,5,0,0,-0.02970000000000006,1,0.144496
3318,2011-05-23,2,0,5,3,0,1,1,3,0.54,0.5152,0.94,0.1642,0,4,4,0,0,-0.024800000000000044,1,0.154348
3319,2011-05-23,2,0,5,4,0,1,1,2,0.54,0.5152,0.94,0.0,2,2,4,0,0,-0.024800000000000044,0,0.0
3320,2011-05-23,2,0,5,5,0,1,1,2,0.54,0.5152,0.94,0.0,0,11,11,0,0,-0.024800000000000044,0,0.0
3321,2011-05-23,2,0,5,6,0,1,1,2,0.54,0.5152,1.0,0.0,4,92,96,0,0,-0.024800000000000044,0,0.0
3322,2011-05-23,2,0,5,7,0,1,1,2,0.56,0.5303,0.94,0.1045,13,223,236,1,0,-0.02970000000000006,0,0.09822999999999998
3323,2011-05-23,2,0,5,8,0,1,1,1,0.6,0.5455,0.88,0.194,50,359,409,1,0,-0.05449999999999999,0,0.17072
3324,2011-05-23,2,0,5,9,0,1,1,1,0.6,0.5455,0.88,0.2239,36,131,167,1,0,-0.05449999999999999,0,0.19703199999999998
3325,2011-05-23,2,0,5,10,0,1,1,1,0.66,0.6212,0.74,0.2985,49,72,121,0,0,-0.03880000000000006,0,0.22088999999999998
3326,2011-05-23,2,0,5,11,0,1,1,1,0.68,0.6364,0.69,0.3881,73,107,180,0,0,-0.04360000000000008,0,0.267789
3327,2011-05-23,2,0,5,12,0,1,1,1,0.68,0.6364,0.69,0.3881,65,139,204,0,0,-0.04360000000000008,0,0.267789
3328,2011-05-23,2,0,5,13,0,1,1,2,0.74,0.6818,0.58,0.4179,49,155,204,0,0,-0.05820000000000003,0,0.242382
3329,2011-05-23,2,0,5,14,0,1,1,2,0.72,0.6818,0.62,0.5224,57,130,187,0,0,-0.03820000000000001,0,0.323888
3330,2011-05-23,2,0,5,15,0,1,1,2,0.72,0.6818,0.62,0.4478,57,119,176,0,0,-0.03820000000000001,0,0.277636
3331,2011-05-23,2,0,5,16,0,1,1,2,0.72,0.6818,0.62,0.2985,56,223,279,0,0,-0.03820000000000001,0,0.18506999999999998
3332,2011-05-23,2,0,5,17,0,1,1,3,0.72,0.6818,0.7,0.3881,56,373,429,1,0,-0.03820000000000001,1,0.27166999999999997
3333,2011-05-23,2,0,5,18,0,1,1,1,0.7,0.6667,0.74,0.2836,68,385,453,1,0,-0.033299999999999996,0,0.20986400000000002
3334,2011-05-23,2,0,5,19,0,1,1,1,0.7,0.6667,0.74,0.2239,56,302,358,1,0,-0.033299999999999996,0,0.165686
3335,2011-05-23,2,0,5,20,0,1,1,1,0.64,0.5758,0.83,0.2239,39,271,310,0,0,-0.06420000000000003,0,0.18583699999999997
3336,2011-05-23,2,0,5,21,0,1,1,1,0.64,0.5758,0.89,0.2239,33,155,188,0,0,-0.06420000000000003,0,0.199271
3337,2011-05-23,2,0,5,22,0,1,1,1,0.62,0.5455,0.94,0.2239,25,106,131,0,0,-0.07450000000000001,0,0.210466
3338,2011-05-23,2,0,5,23,0,1,1,2,0.62,0.5606,0.88,0.194,19,53,72,0,0,-0.05940000000000001,0,0.17072
3339,2011-05-24,2,0,5,0,0,2,1,2,0.6,0.5152,0.94,0.194,12,23,35,0,0,-0.08479999999999999,0,0.18236
3340,2011-05-24,2,0,5,1,0,2,1,2,0.6,0.5152,0.94,0.1642,6,9,15,0,0,-0.08479999999999999,0,0.154348
3341,2011-05-24,2,0,5,2,0,2,1,2,0.6,0.5152,0.94,0.194,2,8,10,0,0,-0.08479999999999999,0,0.18236
3342,2011-05-24,2,0,5,3,0,2,1,2,0.58,0.5455,0.94,0.1045,0,2,2,0,0,-0.034499999999999975,0,0.09822999999999998
3343,2011-05-24,2,0,5,4,0,2,1,1,0.6,0.5455,0.88,0.1045,1,3,4,0,0,-0.05449999999999999,0,0.09196
3344,2011-05-24,2,0,5,5,0,2,1,2,0.58,0.5455,0.94,0.2537,2,22,24,0,0,-0.034499999999999975,0,0.23847799999999997
3345,2011-05-24,2,0,5,6,0,2,1,2,0.58,0.5455,0.94,0.194,10,102,112,0,0,-0.034499999999999975,0,0.18236
3346,2011-05-24,2,0,5,7,0,2,1,3,0.64,0.5909,0.78,0.194,26,288,314,1,0,-0.04910000000000003,1,0.15132
3347,2011-05-24,2,0,5,8,0,2,1,3,0.62,0.5758,0.83,0.2239,31,403,434,1,0,-0.04420000000000002,1,0.18583699999999997
3348,2011-05-24,2,0,5,9,0,2,1,2,0.64,0.6061,0.73,0.194,27,111,138,1,0,-0.03390000000000004,0,0.14162
3349,2011-05-24,2,0,5,10,0,2,1,1,0.7,0.6515,0.61,0.3284,18,90,108,0,0,-0.04849999999999999,0,0.200324
3350,2011-05-24,2,0,5,11,0,2,1,1,0.74,0.6667,0.51,0.2239,33,142,175,0,0,-0.07330000000000003,0,0.114189
3351,2011-05-24,2,0,5,12,0,2,1,1,0.76,0.6818,0.45,0.3881,41,129,170,0,0,-0.07820000000000005,0,0.174645
3352,2011-05-24,2,0,5,13,0,2,1,1,0.78,0.697,0.46,0.2537,38,152,190,0,0,-0.08300000000000007,0,0.116702
3353,2011-05-24,2,0,5,14,0,2,1,1,0.78,0.697,0.46,0.2836,27,126,153,0,0,-0.08300000000000007,0,0.13045600000000002
3354,2011-05-24,2,0,5,15,0,2,1,3,0.74,0.6818,0.55,0.4179,59,129,188,0,0,-0.05820000000000003,1,0.22984500000000002
3355,2011-05-24,2,0,5,16,0,2,1,1,0.66,0.6212,0.69,0.194,52,225,277,0,0,-0.03880000000000006,0,0.13386
3356,2011-05-24,2,0,5,17,0,2,1,1,0.7,0.6515,0.61,0.1045,56,492,548,1,0,-0.04849999999999999,0,0.063745
3357,2011-05-24,2,0,5,18,0,2,1,1,0.7,0.6515,0.7,0.194,74,490,564,1,0,-0.04849999999999999,0,0.1358
3358,2011-05-24,2,0,5,19,0,2,1,1,0.66,0.6212,0.74,0.194,45,310,355,1,0,-0.03880000000000006,0,0.14356
3359,2011-05-24,2,0,5,20,0,2,1,1,0.66,0.6212,0.74,0.0896,39,241,280,0,0,-0.03880000000000006,0,0.066304
3360,2011-05-24,2,0,5,21,0,2,1,1,0.64,0.5909,0.78,0.0896,21,168,189,0,0,-0.04910000000000003,0,0.069888
3361,2011-05-24,2,0,5,22,0,2,1,3,0.62,0.5606,0.88,0.2239,26,115,141,0,0,-0.05940000000000001,1,0.19703199999999998
3362,2011-05-24,2,0,5,23,0,2,1,3,0.66,0.6212,0.74,0.1642,13,53,66,0,0,-0.03880000000000006,1,0.121508
3363,2011-05-25,2,0,5,0,0,3,1,3,0.6,0.5606,0.83,0.2239,3,32,35,0,0,-0.03939999999999999,1,0.18583699999999997
3364,2011-05-25,2,0,5,1,0,3,1,3,0.58,0.5455,0.83,0.194,6,2,8,0,0,-0.034499999999999975,1,0.16102
3365,2011-05-25,2,0,5,2,0,3,1,2,0.56,0.5303,0.94,0.0,0,8,8,0,0,-0.02970000000000006,0,0.0
3366,2011-05-25,2,0,5,3,0,3,1,1,0.54,0.5152,1.0,0.1343,0,9,9,0,0,-0.024800000000000044,0,0.1343
3367,2011-05-25,2,0,5,4,0,3,1,1,0.54,0.5152,1.0,0.1045,0,3,3,0,0,-0.024800000000000044,0,0.1045
3368,2011-05-25,2,0,5,5,0,3,1,1,0.56,0.5303,0.88,0.0896,2,23,25,0,0,-0.02970000000000006,0,0.078848
3369,2011-05-25,2,0,5,6,0,3,1,1,0.56,0.5303,0.94,0.0896,4,113,117,0,0,-0.02970000000000006,0,0.084224
3370,2011-05-25,2,0,5,7,0,3,1,1,0.62,0.5909,0.73,0.1343,29,284,313,1,0,-0.029100000000000015,0,0.098039
3371,2011-05-25,2,0,5,8,0,3,1,1,0.64,0.6061,0.69,0.2239,36,495,531,1,0,-0.03390000000000004,0,0.154491
3372,2011-05-25,2,0,5,9,0,3,1,1,0.68,0.6364,0.65,0.0896,27,207,234,1,0,-0.04360000000000008,0,0.05824
3373,2011-05-25,2,0,5,10,0,3,1,1,0.7,0.6515,0.61,0.0896,30,105,135,0,0,-0.04849999999999999,0,0.054655999999999996
3374,2011-05-25,2,0,5,11,0,3,1,1,0.74,0.6667,0.51,0.0896,36,104,140,0,0,-0.07330000000000003,0,0.045696
3375,2011-05-25,2,0,5,12,0,3,1,1,0.74,0.6818,0.55,0.1343,32,178,210,0,0,-0.05820000000000003,0,0.07386500000000001
3376,2011-05-25,2,0,5,13,0,3,1,1,0.74,0.6818,0.55,0.1343,39,163,202,0,0,-0.05820000000000003,0,0.07386500000000001
3377,2011-05-25,2,0,5,14,0,3,1,1,0.74,0.6818,0.55,0.1642,47,121,168,0,0,-0.05820000000000003,0,0.09031000000000002
3378,2011-05-25,2,0,5,15,0,3,1,1,0.76,0.697,0.52,0.2537,37,145,182,0,0,-0.06300000000000006,0,0.13192399999999999
3379,2011-05-25,2,0,5,16,0,3,1,1,0.74,0.6667,0.51,0.2836,61,238,299,0,0,-0.07330000000000003,0,0.14463600000000001
3380,2011-05-25,2,0,5,17,0,3,1,1,0.74,0.6667,0.51,0.2239,77,524,601,1,0,-0.07330000000000003,0,0.114189
3381,2011-05-25,2,0,5,18,0,3,1,1,0.72,0.6667,0.58,0.2239,66,451,517,1,0,-0.053300000000000014,0,0.12986199999999998
3382,2011-05-25,2,0,5,19,0,3,1,1,0.7,0.6515,0.61,0.1343,73,332,405,1,0,-0.04849999999999999,0,0.081923
3383,2011-05-25,2,0,5,20,0,3,1,1,0.7,0.6515,0.61,0.1642,56,284,340,0,0,-0.04849999999999999,0,0.100162
3384,2011-05-25,2,0,5,21,0,3,1,1,0.66,0.6212,0.69,0.1343,33,203,236,0,0,-0.03880000000000006,0,0.092667
3385,2011-05-25,2,0,5,22,0,3,1,1,0.66,0.6212,0.69,0.2537,34,140,174,0,0,-0.03880000000000006,0,0.175053
3386,2011-05-25,2,0,5,23,0,3,1,1,0.64,0.6061,0.73,0.1343,12,74,86,0,0,-0.03390000000000004,0,0.098039
3387,2011-05-26,2,0,5,0,0,4,1,1,0.64,0.6061,0.73,0.1343,11,34,45,0,0,-0.03390000000000004,0,0.098039
3388,2011-05-26,2,0,5,1,0,4,1,1,0.64,0.6061,0.73,0.1343,3,13,16,0,0,-0.03390000000000004,0,0.098039
3389,2011-05-26,2,0,5,2,0,4,1,1,0.62,0.5758,0.83,0.1045,7,7,14,0,0,-0.04420000000000002,0,0.08673499999999999
3390,2011-05-26,2,0,5,3,0,4,1,1,0.6,0.5455,0.88,0.0896,0,4,4,0,0,-0.05449999999999999,0,0.078848
3391,2011-05-26,2,0,5,4,0,4,1,1,0.6,0.5455,0.88,0.0,0,2,2,0,0,-0.05449999999999999,0,0.0
3392,2011-05-26,2,0,5,5,0,4,1,2,0.6,0.5455,0.88,0.0896,2,25,27,0,0,-0.05449999999999999,0,0.078848
3393,2011-05-26,2,0,5,6,0,4,1,2,0.6,0.5,1.0,0.0896,4,94,98,0,0,-0.09999999999999998,0,0.0896
3394,2011-05-26,2,0,5,7,0,4,1,2,0.62,0.5455,0.94,0.2537,16,270,286,1,0,-0.07450000000000001,0,0.23847799999999997
3395,2011-05-26,2,0,5,8,0,4,1,2,0.66,0.6061,0.83,0.1642,31,458,489,1,0,-0.05390000000000006,0,0.136286
3396,2011-05-26,2,0,5,9,0,4,1,1,0.72,0.6818,0.7,0.1642,22,194,216,1,0,-0.03820000000000001,0,0.11494
3397,2011-05-26,2,0,5,10,0,4,1,1,0.7,0.6667,0.74,0.2836,49,94,143,0,0,-0.033299999999999996,0,0.20986400000000002
3398,2011-05-26,2,0,5,11,0,4,1,1,0.74,0.697,0.66,0.2239,36,124,160,0,0,-0.04300000000000004,0,0.147774
3399,2011-05-26,2,0,5,12,0,4,1,1,0.78,0.7424,0.59,0.3284,53,141,194,0,0,-0.03760000000000008,0,0.193756
3400,2011-05-26,2,0,5,13,0,4,1,1,0.82,0.7727,0.52,0.2836,52,145,197,0,0,-0.0472999999999999,0,0.14747200000000002
3401,2011-05-26,2,0,5,14,0,4,1,1,0.82,0.7727,0.52,0.2836,44,145,189,0,0,-0.0472999999999999,0,0.14747200000000002
3402,2011-05-26,2,0,5,15,0,4,1,2,0.82,0.7576,0.46,0.2836,40,101,141,0,0,-0.0623999999999999,0,0.13045600000000002
